A Time for Mercy,John Grisham,"***THE SUNDAY TIMES BESTSELLER*** Jake Brigance, lawyer hero of A Time to Kill and Sycamore Row, is back, in his toughest case ever. 'A new Grisham legal thriller is always an event, but this one is exceptional as the author is returning to Jake Brigance, the hero of his very first book, A Time To Kill . . . There is a lot of Grisham in Brigance - they were both street lawyers on the side of the people, not big corporations. It gives the book an emotional core that burns with a white heat' - Daily Mail 'A master of plotting and pacing . . . suspenseful' - New York Times CAN A KILLER EVER BE ABOVE THE LAW? Deputy Stuart Kofer is a protected man. Though he's turned his drunken rages on his girlfriend, Josie, and her children many times before, the police code of silence has always shielded him. But one night he goes too far, leaving Josie for dead on the floor before passing out. Her son, sixteen-year-old Drew, knows he only has this one chance to save them. He picks up a gun and takes the law into his own hands. In Clanton, Mississippi, there is no one more hated than a cop killer - but a cop killer's defence lawyer comes close. Jake Brigance doesn't want this impossible case but he's the only one with enough experience to defend the boy. As the trial begins, it seems there is only one outcome: the gas chamber for Drew. But, as the town of Clanton discovers once again, when Jake Brigance takes on an impossible case, anything is possible ... Starring the same hero and setting that featured in John Grisham's multi-million-selling bestsellers A Time to Kill (adapted as a film starring Samuel L. Jackson and Matthew McConaughey) and Sycamore Row, A Time for Mercy is an unforgettable thriller you won't be able to put down. 'When Grisham gets in the courtroom he lets rip, drawing scenes so real they're not just alive, they're pulsating' Mirror 'A superb, instinctive storyteller' The Times 'Storytelling genius ... he is in a league of his own' Daily Record 350+ million copies, 45 languages, 10 blockbuster films: NO ONE WRITES DRAMA LIKE JOHN GRISHAM",2020-10-13,Fiction,4.29
The Vanishing Half,Brit Bennett,"#1 NEW YORK TIMES BESTSELLER ONE OF BARACK OBAMA'S FAVORITE BOOKS OF THE YEAR NAMED A BEST BOOK OF 2020 BY THE NEW YORK TIMES * THE WASHINGTON POST * NPR * PEOPLE * TIME MAGAZINE* VANITY FAIR * GLAMOUR 2021 WOMEN'S PRIZE FINALIST “Bennett’s tone and style recalls James Baldwin and Jacqueline Woodson, but it’s especially reminiscent of Toni Morrison’s 1970 debut novel, The Bluest Eye.” —Kiley Reid, Wall Street Journal “A story of absolute, universal timelessness …For any era, it's an accomplished, affecting novel. For this moment, it's piercing, subtly wending its way toward questions about who we are and who we want to be….” – Entertainment Weekly From The New York Times-bestselling author of The Mothers, a stunning new novel about twin sisters, inseparable as children, who ultimately choose to live in two very different worlds, one black and one white. The Vignes twin sisters will always be identical. But after growing up together in a small, southern black community and running away at age sixteen, it's not just the shape of their daily lives that is different as adults, it's everything: their families, their communities, their racial identities. Many years later, one sister lives with her black daughter in the same southern town she once tried to escape. The other secretly passes for white, and her white husband knows nothing of her past. Still, even separated by so many miles and just as many lies, the fates of the twins remain intertwined. What will happen to the next generation, when their own daughters' storylines intersect? Weaving together multiple strands and generations of this family, from the Deep South to California, from the 1950s to the 1990s, Brit Bennett produces a story that is at once a riveting, emotional family story and a brilliant exploration of the American history of passing. Looking well beyond issues of race, The Vanishing Half considers the lasting influence of the past as it shapes a person's decisions, desires, and expectations, and explores some of the multiple reasons and realms in which people sometimes feel pulled to live as something other than their origins. As with her New York Times-bestselling debut The Mothers, Brit Bennett offers an engrossing page-turner about family and relationships that is immersive and provocative, compassionate and wise.",2020-06-02,Fiction,3.50
The Return,Nicholas Sparks,"A house full of love. A house full of secrets. #1 New York Times bestselling author Nicholas Sparks is back with his best novel yet. * Trevor Benson never intended to return to North Carolina. But here he is, back where it all began. Trevor found himself unable to resist the call home when he inherited a tumbledown cabin from his grandfather. He's come back to live the simple life but nothing here is simple. There's Callie, the sullen local teenager who seems to know more than she should about Trevor's grandfather's death. And there's Natalie, the deputy sheriff intent on making a point and lingering in Trevor's mind long after she's left his porch. In a bid to unravel Natalie and Callie's secrets and to find out what really happened to his grandfather, Trevor is about to learn more than he's bargained for - that sometimes, in order to move forward, we have to return to the place where it all began. Praise for Nicholas Sparks: 'A fiercely romantic and touching tale' Heat 'An A-grade romantic read' OK! 'Pulls at the heartstrings' Sunday Times 'An absorbing page-turner' Daily Mail 'This one won't leave a dry eye' Daily Mirror",2020-09-29,Fiction,4.56
Daylight,David Baldacci,"In this gripping mystery, an FBI Agent’s search for her sister clashes with a military investigator's high-stakes case, leading them both deep into a global conspiracy—from which neither of them will escape unscathed. For many long years, Atlee Pine was tormented by uncertainty after her twin sister, Mercy, was abducted at the age of six and never seen again. Now, just as Atlee is pressured to end her investigation into Mercy's disappearance, she finally gets her most promising breakthrough yet: the identity of her sister's kidnapper, Ito Vincenzo. With time running out, Atlee and her assistant Carol Blum race to Vincenzo's last known location in Trenton, New Jersey—and unknowingly stumble straight into John Puller's case, blowing his arrest during a drug ring investigation involving a military installation. Stunningly, Pine and Puller's joint investigation uncovers a connection between Vincenzo's family and a breathtaking scheme that strikes at the very heart of global democracy. Peeling back the layers of deceit, lies and cover-ups, Atlee finally discovers the truth about what happened to Mercy. And that truth will shock Pine to her very core.",2020-11-17,Fiction,4.20
Home Body,Rupi Kaur,"From the Number One Sunday Times bestselling author of milk and honey and the sun and her flowers comes her greatly anticipated third collection of poetry. rupi kaur constantly embraces growth, and in home body, she walks readers through a reflective and intimate journey visiting the past, the present and the potential of the self. home body is a collection of raw, honest conversations with oneself - reminding readers to fill up on love, acceptance, community, family, and embrace change. illustrated by the author, themes of nature and nurture, light and dark, rest here. i dive into the well of my body and end up in another world everything i need already exists in me there’s no need to look anywhere else - home",2020-11-17,Poetry,4.07
The Sentinel,"Lee Child, Andrew Child","#1 NEW YORK TIMES BESTSELLER • THE BLOCKBUSTER JACK REACHER SERIES THAT INSPIRED TWO MAJOR MOTION PICTURES AND THE STREAMING SERIES REACHER Jack Reacher is back! The “utterly addictive” (The New York Times) series continues as acclaimed author Lee Child teams up with his brother, Andrew Child, fellow thriller writer extraordinaire. “One of the many great things about Jack Reacher is that he’s larger than life while remaining relatable and believable. The Sentinel shows that two Childs are even better than one.”—James Patterson As always, Reacher has no particular place to go, and all the time in the world to get there. One morning he ends up in a town near Pleasantville, Tennessee. But there’s nothing pleasant about the place. In broad daylight Reacher spots a hapless soul walking into an ambush. “It was four against one” . . . so Reacher intervenes, with his own trademark brand of conflict resolution. The man he saves is Rusty Rutherford, an unassuming IT manager, recently fired after a cyberattack locked up the town’s data, records, information . . . and secrets. Rutherford wants to stay put, look innocent, and clear his name. Reacher is intrigued. There’s more to the story. The bad guys who jumped Rutherford are part of something serious and deadly, involving a conspiracy, a cover-up, and murder—all centered on a mousy little guy in a coffee-stained shirt who has no idea what he’s up against. Rule one: if you don’t know the trouble you’re in, keep Reacher by your side.",2020-10-27,Fiction,3.96
The Law of Innocence,Michael Connelly,"THE TRIAL OF A LIFETIME. BUT WILL IT BE HIS LAST? 'Another masterpiece from one of the world's greatest crime writers' Express 'This is Connelly on top form ... A terrific thriller' Mail on Sunday 'Grabs you on the very first page and doesn't let go' The Times * * * * * Heading home after winning his latest case, defense attorney Mickey Haller - The Lincoln Lawyer - is pulled over by the police. They open the trunk of his car to find the body of a former client. Haller knows the law inside out. He will be charged with murder. He will have to build his case from behind bars. And the trial will be the trial of his life. Because Mickey Haller will defend himself in court. With watertight evidence stacked against him, Haller will need every trick in the book to prove he was framed. But a not-guilty verdict isn't enough. In order to truly walk free, Haller knows he must find the real killer - that is the law of innocence... * * * * * 'Pick up this gripping book at your peril, especially if you have other things to do like working or sleeping.' Express 'The so-called Lincoln Lawyer ... turns in another dazzling courtroom performance' New York Times Book Review * * * * * ""The law of innocence is unwritten. It will not be found in a leather-bound code book. It will never be argued in a courtroom. In nature, for every action there is an equal and opposite reaction. In the law of innocence, for every man not guilty of a crime there is a man out there who is. And to prove true innocence the guilty man must be found and exposed to the world."" * * * * * CRIME DOESN'T COME BETTER THAN CONNELLY. 'One of the very best writers working today' Sunday Telegraph 'The pre-eminent detective novelist of his generation' Ian Rankin 'A superb natural storyteller' Lee Child 'A master' Stephen King 'Crime thriller writing of the highest order' Guardian 'America's greatest living crime writer' Daily Express 'A crime writing genius' Independent on Sunday",2020-11-10,Fiction,4.35
The Awakening,Nora Roberts,"The first in a brand new trilogy from Sunday Times bestseller Nora Roberts, The Awakening is a story of adventure, magic and finding your home Mists, shimmering silver fingers, rose over the pale green water of the lake. They twined and twisted toward a sky quietly gray, while in the east, over the hills, a pink blush waited, like a held breath, to waken. Breen Kelly had always been a rule follower. So, when her father left when she was twelve years old, promising to return, she waited. Now, more than a decade later, she's working at a job she hates and is tired of the life that playing by the rules has dealt her. It's time to make a change. Breen makes a leap into the unknown with a summer trip to Ireland - her father's homeland. Little does she know how much of a leap until a walk in the woods leads her through a portal into another world - Talamh - where Breen will find magic, family and a destiny she could never have dreamed of 'If you're after the perfect pick-me-up, take-me-away-from-the-world read, then she's your woman' The Guardian 'Nora Roberts is, quite simply, a one-woman phenomenon' Heat 'I love Nora Roberts' Stephen King",2020-11-24,Fiction,3.74
A Promised Land,Barack Obama,"A riveting, deeply personal account of history in the making—from the president who inspired us to believe in the power of democracy #1 NEW YORK TIMES BESTSELLER • NAACP IMAGE AWARD NOMINEE • NAMED ONE OF THE TEN BEST BOOKS OF THE YEAR BY THE NEW YORK TIMES BOOK REVIEW NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The Washington Post • Jennifer Szalai, The New York Times • NPR • The Guardian • Marie Claire In the stirring, highly anticipated first volume of his presidential memoirs, Barack Obama tells the story of his improbable odyssey from young man searching for his identity to leader of the free world, describing in strikingly personal detail both his political education and the landmark moments of the first term of his historic presidency—a time of dramatic transformation and turmoil. Obama takes readers on a compelling journey from his earliest political aspirations to the pivotal Iowa caucus victory that demonstrated the power of grassroots activism to the watershed night of November 4, 2008, when he was elected 44th president of the United States, becoming the first African American to hold the nation’s highest office. Reflecting on the presidency, he offers a unique and thoughtful exploration of both the awesome reach and the limits of presidential power, as well as singular insights into the dynamics of U.S. partisan politics and international diplomacy. Obama brings readers inside the Oval Office and the White House Situation Room, and to Moscow, Cairo, Beijing, and points beyond. We are privy to his thoughts as he assembles his cabinet, wrestles with a global financial crisis, takes the measure of Vladimir Putin, overcomes seemingly insurmountable odds to secure passage of the Affordable Care Act, clashes with generals about U.S. strategy in Afghanistan, tackles Wall Street reform, responds to the devastating Deepwater Horizon blowout, and authorizes Operation Neptune’s Spear, which leads to the death of Osama bin Laden. A Promised Land is extraordinarily intimate and introspective—the story of one man’s bet with history, the faith of a community organizer tested on the world stage. Obama is candid about the balancing act of running for office as a Black American, bearing the expectations of a generation buoyed by messages of “hope and change,” and meeting the moral challenges of high-stakes decision-making. He is frank about the forces that opposed him at home and abroad, open about how living in the White House affected his wife and daughters, and unafraid to reveal self-doubt and disappointment. Yet he never wavers from his belief that inside the great, ongoing American experiment, progress is always possible. This beautifully written and powerful book captures Barack Obama’s conviction that democracy is not a gift from on high but something founded on empathy and common understanding and built together, day by day.",2020-11-17,Biography & Autobiography,4.33
Greenlights,Matthew McConaughey,"#1 NEW YORK TIMES BESTSELLER • 6 MILLION COPIES SOLD WORLDWIDE! Discover the life-changing memoir that has inspired millions of readers through the Academy Award–winning actor’s unflinching honesty, unconventional wisdom, and lessons learned the hard way about living with greater satisfaction. “The No. 1 celebrity memoir of the past 10 years.”—USA Today “McConaughey’s book invites us to grapple with the lessons of his life as he did—and to see that the point was never to win, but to understand.”—Mark Manson, author of The Subtle Art of Not Giving a F*ck I’ve been in this life for fifty years, been trying to work out its riddle for forty-two, and been keeping diaries of clues to that riddle for the last thirty-five. Notes about successes and failures, joys and sorrows, things that made me marvel, and things that made me laugh out loud. How to be fair. How to have less stress. How to have fun. How to hurt people less. How to get hurt less. How to be a good man. How to have meaning in life. How to be more me. Recently, I worked up the courage to sit down with those diaries. I found stories I experienced, lessons I learned and forgot, poems, prayers, prescriptions, beliefs about what matters, some great photographs, and a whole bunch of bumper stickers. I found a reliable theme, an approach to living that gave me more satisfaction, at the time, and still: If you know how, and when, to deal with life’s challenges—how to get relative with the inevitable—you can enjoy a state of success I call “catching greenlights.” So I took a one-way ticket to the desert and wrote this book: an album, a record, a story of my life so far. This is fifty years of my sights and seens, felts and figured-outs, cools and shamefuls. Graces, truths, and beauties of brutality. Getting away withs, getting caughts, and getting wets while trying to dance between the raindrops. Hopefully, it’s medicine that tastes good, a couple of aspirin instead of the infirmary, a spaceship to Mars without needing your pilot’s license, going to church without having to be born again, and laughing through the tears. It’s a love letter. To life. It’s also a guide to catching more greenlights—and to realizing that the yellows and reds eventually turn green too. Good luck.",2020-10-20,Biography & Autobiography,4.27
