title,authors,description,published_date,categories,goodreads_rating
Iron Flame,Rebecca Yarros,"The instant number one Sunday Times bestseller and thrilling sequel to the global phenomenon, Fourth Wing! Don't miss out on the series that the world can't stop talking about: 'An absolute romantasy sensation . . . Yarros is the true inheritor of Harry Potter and inspires Hunger Games levels of devotion' - Guardian 'Fear not, levels of fighting, rebelliousness and all-round sexiness are still sky-high' - Daily Mail 'Iron Flame is on course to set the world alight' - Glamour 'Yarros had me hooked from the first chapter' - Mail on Sunday __________________________________________ She survived her first year at Basgiath War College . . . but the danger is only beginning. Everyone expected Violet Sorrengail to die during her first year at Basgiath War College, Violet included. But Threshing was only the first impossible test meant to weed out the weak-willed, the unworthy, and the unlucky. Now the real training begins, and Violet's already wondering how she'll get through. It's not just that it's grueling and maliciously brutal, or even that it's designed to stretch the riders' capacity for pain beyond endurance. It's the new vice commandant, who's made it his personal mission to teach Violet exactly how powerless she is - unless she betrays the man she loves. Although Violet's body might be weaker and frailer than everyone else's, she still has her wits, and a will of iron. And leadership is forgetting the most important lesson Basgiath has taught her: Dragon riders make their own rules. But a determination to survive won't be enough this year. Because Violet knows the real secret hidden for centuries at Basgiath War College - and nothing, not even dragon fire, may be enough to save them in the end. __________________________________________ Reviews for Fourth Wing 'Pure escapism - think Hunger Games meets Fifty Shades' THE SUN 'We weren't expecting to become obsessed with Rebecca Yarros's Fourth Wing, but we very much are - and we're not alone . . .' SUNDAY TIMES STYLE 'I couldn't put it down!' MILLIE BOBBY BROWN 'This book contains an addictive, drug like essence that will make you relinquish all responsibility until the very last word. Do not say I didn't warn you' GLAMOUR 'Throw in an enemies-to-lovers plotline, some life-threatening trials and the threat of war in the outside world, and you've got yourself a deliciously gripping dish, which I downed in one sitting' STYLIST '2024 is the Year of the Dragon, according to the Chinese calendar. Dive into a fantasy narrative featuring these mythical, winged creatures.' POP SUGAR OTHER BOOKS IN THE EMPYREAN SERIES - FOURTH WING - IRON FLAME *Rebecca Yarros's Iron Flame was a Sunday Times Number One bestseller in hardback in the second week of November 2023",2023-11-07,Fiction,3.74
Icebreaker,Hannah Grace,"Patineuse artistique star de l'équipe de Maple Hills, Anastasia Allen vit pour gagner. Son emploi du temps plus chargé que celui d’un ministre ne tourne qu’autour de son sport, laissant peu de place à l’imprévu. Nathan Hawkins, lui, n'a jamais rencontré de problème qu'il ne pouvait pas résoudre. Et en tant que capitaine de l’équipe de hockey, il sait que sa responsabilité est de maintenir l’équipe soudée. Ils ne s’étaient jamais croisés, mais lorsque la patinoire pour le hockey est détruite à la suite d’un malentendu, les deux équipes doivent s’adapter pour partager une seule et même patinoire. Stassie est plus qu’énervée contre cette équipe de hockey qui dérange son planning, mais surtout contre Nate, le capitaine aux larges épaules et au sourire facile en qui elle n’a aucune confiance. A l’inverse, Nate est immédiatement charmé par la furie qui le foudroie du regard à chaque occasion. Mais qu’importe, Stassie est immune au charme des hockeyeurs. N’est-ce pas ?",2023-05-22,Fiction,3.82
Summary of Lessons in Chemistry by Bonnie Garmus,Bonnie Garmus,"Elizabeth Zott is a chemist, not the typical female. The first to point out that there is no such thing is Elizabeth Zott, in fact. But since her Hastings Research Institute staff is entirely male and it's the early 1960s, their perspective on equality is somewhat unscientific. With one exception: Calvin Evans, the misanthropic, bright, and Nobel Prize nominee who, ironically, falls in love with her mind. The outcomes of true chemistry. Life is irrational, just like science. In light of this, Elizabeth Zott discovers herself to be a single mother a few years later and the reluctant star of Supper at Six, the nation's most adored cookery program.",2023,Sex role,4.00
The Little Liar,Mitch Albom,"A moving new novel from the beloved author of Tuesdays with Morrie and The Five People You Meet in Heaven When the Nazis invade Salonika, Greece, eleven-year-old Nico Crispi is offered a chance to save his family. He is instructed to convince his fellow Jewish residents to board trains heading towards the east, where they are promised jobs and safety. He dutifully goes to the station platform every day and reassures the passengers that the journey is safe. Only after it is too late does Nico discover that the people he loved would never return. In The Little Liar, Nico's story is interweaved with other individuals impacted by the occupation: his brother Sebastian, their schoolmate Fanni and the Nazi officer who radically changed their lives. As the decades pass, the consequences of what they endured come to light. Exploring honesty, survival, revenge and devotion, The Little Liar is a timeless story about the harm we inflict with our deceits, and the power of love to redeem us. What real readers say about Mitch Albom's books 'Breathtakingly beautiful. A story that will stay with you forever' 'A beautiful and flawlessly choreographed book . . . No other book may ever compare' 'One of my favourite books . . . Wonderful, inspirational, and heart-warming! To me, it is a MUST READ! 'The book is beyond words . . . Well written, engaging, poignant' 'This really is a wonderful book. You should read it'",2023-11-14,Fiction,4.00
Holly,Stephen King,"#1 New York Times Bestseller * New York Times Notable Book * NPR Best Book of the Year Holly Gibney, one of Stephen King’s most compelling and resourceful characters, returns in this chilling novel to solve the gruesome truth behind multiple disappearances in a midwestern town. “Sometimes the universe throws you a rope.” —BILL HODGES Stephen King’s Holly marks the triumphant return of beloved King character Holly Gibney. Readers have witnessed Holly’s gradual transformation from a shy (but also brave and ethical) recluse in Mr. Mercedes to Bill Hodges’s partner in Finders Keepers to a full-fledged, smart, and occasionally tough private detective in The Outsider. In King’s new novel, Holly is on her own, and up against a pair of unimaginably depraved and brilliantly disguised adversaries. When Penny Dahl calls the Finders Keepers detective agency hoping for help locating her missing daughter, Holly is reluctant to accept the case. Her partner, Pete, has Covid. Her (very complicated) mother has just died. And Holly is meant to be on leave. But something in Penny Dahl’s desperate voice makes it impossible for Holly to turn her down. Mere blocks from where Bonnie Dahl disappeared live Professors Rodney and Emily Harris. They are the picture of bourgeois respectability: married octogenarians, devoted to each other, and semi-retired lifelong academics. But they are harboring an unholy secret in the basement of their well-kept, book-lined home, one that may be related to Bonnie’s disappearance. And it will prove nearly impossible to discover what they are up to: they are savvy, they are patient, and they are ruthless. Holly must summon all her formidable talents to outthink and outmaneuver the shockingly twisted professors in this chilling new masterwork from Stephen King. “I could never let Holly Gibney go. She was supposed to be a walk-on character in Mr. Mercedes and she just kind of stole the book and stole my heart. Holly is all her.” —STEPHEN KING",2023-09-05,Fiction,4.11
The Edge,David Baldacci,"The 6:20 Man is back, dropped by his handlers into a small coastal town in Maine to solve the murder of a CIA agent who knew America’s dirtiest secrets—can Travis Devine uncover the truth before his time runs out? When CIA operative Jenny Silkwell is murdered in rural Maine, government officials have immediate concerns over national security. Her laptop and phone were full of state secrets that, in the wrong hands, endanger the lives of countless operatives. In need of someone who can solve the murder quickly and retrieve the missing information, the U.S. government knows just the chameleon they can call on. Ex-Army Ranger Travis Devine spent his time in the military preparing to take on any scenario, followed by his short-lived business career chasing shadows in the deepest halls of power, so his analytical mind makes him particularly well-suited for complex, high-stakes tasks. Taking down the world’s largest financial conspiracy proved his value, and in comparison, this case looks straightforward. Except small towns hold secrets and Devine finds himself an outsider again. Devine must ingratiate himself with locals who have trusted each other their whole lives, and who distrust outsiders just as much. Dak, Jenny’s brother, who’s working to revitalize the town. Earl, the retired lobsterman who found Jenny’s body. And Alex, Jenny’s sister with a dark past of her own. As Devine gets to know the residents of Putnam, Maine, answers seem to appear and then transform into more questions. There’s a long history of secrets and those who will stop at nothing to keep them from being exposed. Leaving Devine with no idea who he can trust... and who wants him dead.",2023-11-14,Fiction,4.37
All the Light We Cannot See,Anthony Doerr,"*COMING IN NOVEMBER AS A NETFLIX LIMITED SERIES—from producer and director Shawn Levy (Stranger Things) starring Mark Ruffalo, Hugh Laurie, and newcomer Aria Mia Loberti* Winner of the Pulitzer Prize and National Book Award finalist, the beloved instant New York Times bestseller and New York Times Book Review Top 10 Book about a blind French girl and a German boy whose paths collide in occupied France as both try to survive the devastation of World War II. Marie-Laure lives with her father in Paris near the Museum of Natural History where he works as the master of its thousands of locks. When she is six, Marie-Laure goes blind and her father builds a perfect miniature of their neighborhood so she can memorize it by touch and navigate her way home. When she is twelve, the Nazis occupy Paris, and father and daughter flee to the walled citadel of Saint-Malo, where Marie-Laure’s reclusive great uncle lives in a tall house by the sea. With them they carry what might be the museum’s most valuable and dangerous jewel. In a mining town in Germany, the orphan Werner grows up with his younger sister, enchanted by a crude radio they find. Werner becomes an expert at building and fixing these crucial new instruments, a talent that wins him a place at a brutal academy for Hitler Youth, then a special assignment to track the Resistance. More and more aware of the human cost of his intelligence, Werner travels through the heart of the war and, finally, into Saint-Malo, where his story and Marie-Laure’s converge. Doerr’s “stunning sense of physical detail and gorgeous metaphors” (San Francisco Chronicle) are dazzling. Deftly interweaving the lives of Marie-Laure and Werner, he illuminates the ways, against all odds, people try to be good to one another. Ten years in the writing, All the Light We Cannot See is a magnificent, deeply moving novel from a writer “whose sentences never fail to thrill” (Los Angeles Times).",2023-10-03,Fiction,4.05
Tom Lake,Ann Patchett,"The breathtaking new novel from Ann Patchett – a Sunday Times and No. 1 New York Times bestseller * WATERSTONES FICTION BOOK OF THE MONTH JUNE 2024 * * SHORTLISTED FOR WATERSTONES BOOKS OF THE YEAR 2023 * * A REESE WITHERSPOON AND BBC RADIO 2 BOOK CLUB PICK * * A 2023 BOOK OF THE YEAR FOR THE TIMES * 'Filled with the moments I live for in a story' BONNIE GARMUS, author of Lessons in Chemistry '[Tom Lake] has it all ... Young love, sibling rivalry and deep mother-daughter relationships' REESE WITHERSPOON 'One of the most beloved authors of her generation' SUNDAY TIMES There's more to every love story than what we choose to tell... It's spring and Lara's three grown daughters have returned to the family orchard. While picking cherries, they beg their mother to tell them the one story they've always longed to hear – of the film star with whom she shared a stage, and a romance, years before. Tom Lake is a meditation on youthful love, married love, and the lives parents lead before their children are born. Both hopeful and elegiac, it explores what it means to be happy even when the world is falling apart. 'One of our greatest living chroniclers of love and marriage ... Expect wonder; Patchett always delivers' ELLE Tom Lake was ranked #6 in UK TCM paperback charts week ending 9/6/2024",2023-08-01,Fiction,3.71
Alex Cross Must Die,James Patterson,"SOON TO BE AN ORIGINAL AMAZON PRIME SERIES TWO KILLERS. TWO MOTIVES. A DEADLY RACE AGAINST TIME. When an American Airlines plane explodes in the sky, detectives Alex Cross and John Sampson are first on the scene. They don't hear the gunfire. At first. It soon becomes clear that the plane was taken down by a rare, stolen machine gun. The list of people who could operate the weapon is short. And time runs even shorter. But this isn't the only case the pair must solve. They're also tracking a serial killer who's ambushing young men in what the media are calling the 'Dead Hours' murders. With two killers and two different motives, Cross and Sampson are in a deadly race against time . . . The latest thriller in the globally bestselling series has arrived. ________________________________ Readers are loving Alex Cross Must Die . . . ***** 'The brilliant new action-packed thriller' ***** 'I just cannot get enough of these fast-paced, page-turning crime thrillers' ***** 'This story is full of surprises' ***** 'I LOVE Alex Cross, roll on the next book!' ***** 'The Alex Cross books are amongst the finest detective stories in the world' _______________________________ PRAISE FOR THE ALEX CROSS SERIES 'Patterson never, and I mean never, disappoints' USA Today 'Behind all the noise and the numbers, we shouldn't forget that no one gets this big without amazing natural storytelling talent - which is what Jim has, in spades. The Alex Cross series proves it' Lee Child 'Alex Cross is a legend' Harlan Coben 'Alex Cross ... only gets better and better' Lisa Scottoline '[Alex Cross] has become one of the greatest fictional detectives of all time, a character for the ages' Douglas Preston and Lincoln Child Alex Cross Must Die was a no.6 Sunday Times bestseller 05/12/2023",2023-10-26,Fiction,3.52
The Covenant of Water,Abraham Verghese,"OPRAH'S BOOK CLUB PICK INSTANT NEW YORK TIMES BESTSELLER SUBJECT OF A SIX-PART SUPER SOUL PODCAST SERIES HOSTED BY OPRAH WINFREY ONE OF BARACK OBAMA'S BEST BOOKS OF 2023 'One of the best books I've read in my entire life. It's epic. It's transportive . . . It was unputdownable!' Oprah Winfrey, OprahDaily.com Spanning the years 1900 to 1977, The Covenant of Water follows a family in southern India that suffers a peculiar affliction: in every generation, at least one person dies by drowning - and in Kerala, water is everywhere. At the turn of the century a twelve-year-old girl, grieving the death of her father, is sent by boat to her wedding, where she will meet her forty-year-old husband for the first time. From this poignant beginning, the young girl and future matriarch - known as Big Ammachi - will witness unthinkable changes at home and at large over the span of her extraordinary life, full of the joys and trials of love and the struggles of hardship. A shimmering evocation of a lost India and of the passage of time itself, The Covenant of Water is a hymn to progress in medicine and to human understanding, and a humbling testament to the hardships undergone by past generations for the sake of those alive today. Imbued with humour, deep emotion and the essence of life, it is one of the most masterful literary novels published in recent years.",2023-05-18,Fiction,4.06
