title,authors,description,average_rating,published_date,categories
Call Us What We Carry,Amanda Gorman,"The breakout poetry collection by Sunday Times bestselling author and presidential inaugural poet Amanda Gorman 'This is poetry rippling with communal recognition and empathy' Guardian 'This is more than protest. It's a promise.' Including The Hill We Climb, the stirring poem read at the inauguration of the 46th President of the United States, Joe Biden, this luminous poetry collection by Amanda Gorman captures a shipwrecked moment in time and transforms it into a lyric of hope and healing. In Call Us What We Carry, Gorman explores history, language, identity, and erasure through an imaginative and intimate collage. Harnessing the collective grief of a global pandemic, these seventy poems shine a light on a moment of reckoning and reveal that Gorman has become our messenger from the past, our voice for the future. 'I think we all need more poetry - specifically her poetry - in our lives' i *A PRIMA 'BOOKS TO GIVE WITH LOVE' PICK* Praise for 'The Hill We Climb': 'I was profoundly moved... The power of your words blew me away' Michelle Obama, TIME 'I was thrilled' Hillary Clinton 'She spoke truth to power and embodied clear-eyed hope to a weary nation. She revealed us to ourselves' Lin-Manuel Miranda, TIME",Note non disponible,2021-12-07,Poetry
The Judge's List,John Grisham,"#1 NEW YORK TIMES BESTSELLER • Investigator Lacy Stoltz follows the trail of a serial killer, and closes in on a shocking suspect—a sitting judge—in “one of the best crime reads of the year.... Bristling with high-tech detail and shivering with suspense.... Worth staying up all night to finish” (Wall Street Journal). In The Whistler, Lacy Stoltz investigated a corrupt judge who was taking millions in bribes from a crime syndicate. She put the criminals away, but only after being attacked and nearly killed. Three years later, and approaching forty, she is tired of her work for the Florida Board on Judicial Conduct and ready for a change. Then she meets a mysterious woman who is so frightened she uses a number of aliases. Jeri Crosby’s father was murdered twenty years earlier in a case that remains unsolved and that has grown stone cold. But Jeri has a suspect whom she has become obsessed with and has stalked for two decades. Along the way, she has discovered other victims. Suspicions are easy enough, but proof seems impossible. The man is brilliant, patient, and always one step ahead of law enforcement. He is the most cunning of all serial killers. He knows forensics, police procedure, and most important: he knows the law. He is a judge, in Florida—under Lacy’s jurisdiction. He has a list, with the names of his victims and targets, all unsuspecting people unlucky enough to have crossed his path and wronged him in some way. How can Lacy pursue him, without becoming the next name on his list? The Judge’s List is by any measure John Grisham’s most surprising, chilling novel yet. Don’t miss John Grisham’s new book, THE EXCHANGE: AFTER THE FIRM!",Note non disponible,2021-10-19,Fiction
The Lincoln Highway,Amor Towles,"#1 NEW YORK TIMES BESTSELLER More than ONE MILLION copies sold A TODAY Show Read with Jenna Book Club Pick A New York Times Notable Book, and Chosen by Oprah Daily, Time, NPR, The Washington Post, Bill Gates and Barack Obama as a Best Book of the Year “Wise and wildly entertaining . . . permeated with light, wit, youth.” —The New York Times Book Review “A classic that we will read for years to come.” —Jenna Bush Hager, Read with Jenna book club “Fantastic. Set in 1954, Towles uses the story of two brothers to show that our personal journeys are never as linear or predictable as we might hope.” —Bill Gates “A real joyride . . . elegantly constructed and compulsively readable.” —NPR The bestselling author of A Gentleman in Moscow and Rules of Civility and master of absorbing, sophisticated fiction returns with a stylish and propulsive novel set in 1950s America In June, 1954, eighteen-year-old Emmett Watson is driven home to Nebraska by the warden of the juvenile work farm where he has just served fifteen months for involuntary manslaughter. His mother long gone, his father recently deceased, and the family farm foreclosed upon by the bank, Emmett's intention is to pick up his eight-year-old brother, Billy, and head to California where they can start their lives anew. But when the warden drives away, Emmett discovers that two friends from the work farm have hidden themselves in the trunk of the warden's car. Together, they have hatched an altogether different plan for Emmett's future, one that will take them all on a fateful journey in the opposite direction—to the City of New York. Spanning just ten days and told from multiple points of view, Towles's third novel will satisfy fans of his multi-layered literary styling while providing them an array of new and richly imagined settings, characters, and themes. “Once again, I was wowed by Towles’s writing—especially because The Lincoln Highway is so different from A Gentleman in Moscow in terms of setting, plot, and themes. Towles is not a one-trick pony. Like all the best storytellers, he has range. He takes inspiration from famous hero’s journeys, including The Iliad, The Odyssey, Hamlet, Huckleberry Finn, and Of Mice and Men. He seems to be saying that our personal journeys are never as linear or predictable as an interstate highway. But, he suggests, when something (or someone) tries to steer us off course, it is possible to take the wheel.” – Bill Gates",Note non disponible,2021-10-05,Fiction
The Stranger in the Lifeboat,Mitch Albom,"#1 New York Times Bestseller What would happen if we called on God for help and God actually appeared? In Mitch Albom’s profound new novel of hope and faith, a group of shipwrecked passengers pull a strange man from the sea. He claims to be “the Lord.” And he says he can only save them if they all believe in him. Adrift in a raft after a deadly ship explosion, ten people struggle for survival at sea. Three days pass. Short on water, food and hope, they spot a man floating in the waves. They pull him in. “Thank the Lord we found you,” a passenger says. “I am the Lord,” the man whispers. So begins Mitch Albom’s most beguiling novel yet. Albom has written of heaven in the celebrated number one bestsellers The Five People You Meet in Heaven and The First Phone Call from Heaven. Now, for the first time in his fiction, he ponders what we would do if, after crying out for divine help, God actually appeared before us? In The Stranger in the Lifeboat, Albom keeps us guessing until the end: Is this strange man really who he claims to be? What actually happened to cause the explosion? Are the survivors in heaven, or are they in hell? The story is narrated by Benji, one of the passengers, who recounts the events in a notebook that is discovered—a year later—when the empty life raft washes up on the island of Montserrat. It falls to the island’s chief inspector, Jarty LeFleur, a man battling his own demons, to solve the mystery of what really happened. A fast-paced, compelling novel that makes you ponder your deepest beliefs, The Stranger in the Lifeboat suggests that answers to our prayers may be found where we least expect them.",5,2021-11-02,Fiction
Go Tell the Bees That I Am Gone,Diana Gabaldon,"#1 NEW YORK TIMES BESTSELLER • Diana Gabaldon returns with the “vast and sweeping” (The Washington Post) new novel in the epic Outlander series. War leaves nobody alone. Neither the past, the present, nor the future offers true safety, and the only refuge is what you can protect: your family, your friends, your home. Jamie Fraser and Claire Randall were torn apart by the Jacobite Rising in 1746, and it took them twenty years of loss and heartbreak to find each other again. Now it’s 1779, and Claire and Jamie are finally reunited with their daughter, Brianna, her husband, Roger, and their children, and are rebuilding their home on Fraser’s Ridge—a fortress that may shelter them against the winds of war as well as weather. But tensions in the Colonies are great: Battles rage from New York to Georgia and, even in the mountains of the backcountry, feelings run hot enough to boil Hell’s teakettle. Jamie knows that loyalties among his tenants are split and it won’t be long before the war is on his doorstep. Brianna and Roger have their own worry: that the dangers that provoked their escape from the twentieth century might catch up to them. Sometimes they question whether risking the perils of the 1700s—among them disease, starvation, and an impending war—was indeed the safer choice for their family. Not so far away, young William Ransom is coming to terms with the mysteries of his identity, his future, and the family he’s never known. His erstwhile father, Lord John Grey, has reconciliations to make and dangers to meet on his son’s behalf and on his own, and far to the north, Young Ian Murray fights his own battle between past and future, and the two women he’s loved. Meanwhile, the Revolutionary War creeps ever closer to Fraser’s Ridge. Jamie sharpens his sword, while Claire whets her surgeon’s blade: It is a time for steel.",Note non disponible,2021-11-23,Fiction
Wish You Were Here,Jodi Picoult,"#1 NEW YORK TIMES BESTSELLER • From the author of Small Great Things and The Book of Two Ways comes “a powerfully evocative story of resilience and the triumph of the human spirit” (Taylor Jenkins Reid, author of The Seven Husbands of Evelyn Hugo and Daisy Jones & The Six) Rights sold to Netflix for adaptation as a feature film • Named one of the best books of the year by She Reads Diana O’Toole is perfectly on track. She will be married by thirty, done having kids by thirty-five, and move out to the New York City suburbs, all while climbing the professional ladder in the cutthroat art auction world. She’s an associate specialist at Sotheby’s now, but her boss has hinted at a promotion if she can close a deal with a high-profile client. She’s not engaged just yet, but she knows her boyfriend, Finn, a surgical resident, is about to propose on their romantic getaway to the Galápagos—days before her thirtieth birthday. Right on time. But then a virus that felt worlds away has appeared in the city, and on the eve of their departure, Finn breaks the news: It’s all hands on deck at the hospital. He has to stay behind. You should still go, he assures her, since it would be a shame for all of their nonrefundable trip to go to waste. And so, reluctantly, she goes. Almost immediately, Diana’s dream vacation goes awry. Her luggage is lost, the Wi-Fi is nearly nonexistent, and the hotel they’d booked is shut down due to the pandemic. In fact, the whole island is now under quarantine, and she is stranded until the borders reopen. Completely isolated, she must venture beyond her comfort zone. Slowly, she carves out a connection with a local family when a teenager with a secret opens up to Diana, despite her father’s suspicion of outsiders. In the Galápagos Islands, where Darwin’s theory of evolution by natural selection was formed, Diana finds herself examining her relationships, her choices, and herself—and wondering if when she goes home, she too will have evolved into someone completely different.",3,2021-11-30,Fiction
Fear No Evil,James Patterson,"Alex Cross enters the final showdown with the relentless killer who has stalked him and his family for years.​ Dr. Alex Cross and Detective John Sampson venture into the rugged Montana wilderness--where they will be the prey. They're not on the job, but on a personal mission. Until they're attacked by two rival teams of assassins, controlled by the same mastermind who has stalked Alex and his family for years. Darkness falls. The river churns into rapids. Shots ring out through the forest. No backup. No way out. Fear no evil.",Note non disponible,2021-11-22,Catégorie non disponible
Cloud Cuckoo Land (Large Print Edition),Anthony Doerr,"Follows four young dreamers and outcasts through time and space, from 1453 Constantinople to the future, as they discover resourcefulness and hope amidst peril.",Note non disponible,2021-09-28,Fiction
Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"THE SUNDAY TIMES BESTSELLER AND TIKTOK SENSATION SOON TO BE A NETFLIX FILM 'Riveting, heart-wrenching and full of Old Hollywood glamour' BuzzFeed 'This wildly addictive journey of a reclusive Hollywood starlet and her tumultuous Tinseltown journey comes with unexpected twists and the most satisfying of drama' PopSugar From the author of Daisy Jones & The Six in which a legendary film actress reflects on her relentless rise to the top and the risks she took, the loves she lost, and the long-held secrets the public could never imagine. Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now? Monique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career. Summoned to Evelyn’s luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the '80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn’s story near its conclusion, it becomes clear that her life intersects with Monique’s own in tragic and irreversible ways. The Seven Husbands of Evelyn Hugo is a mesmerizing journey through the splendour of old Hollywood into the harsh realities of the present day as two women struggle with what it means and what it costs to face the truth.",Note non disponible,2021-10-14,Fiction
The Midnight Library,Matt Haig,"""Good morning America book club""--Jacket.",Note non disponible,2021-01-27,Catégorie non disponible
Verity,Colleen Hoover,"Whose truth is the lie? Stay up all night reading the sensational psychological thriller that has readers obsessed, from the #1 New York Times bestselling author of Too Late and It Ends With Us. #1 New York Times Bestseller · USA Today Bestseller · Globe and Mail Bestseller · Publishers Weekly Bestseller Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish. Lowen arrives at the Crawford home, ready to sort through years of Verity’s notes and outlines, hoping to find enough material to get her started. What Lowen doesn’t expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of the night her family was forever altered. Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents could devastate the already grieving father. But as Lowen’s feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife’s words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue loving her.",5,2021-10-05,Fiction
The Storyteller,Dave Grohl,"THE SUNDAY TIMES NO 1 BESTSELLER * ONE OF NME's BEST MUSIC BOOKS OF 2021 * ONE OF VARIETY'S BEST MUSIC BOOKS OF 2021 * INCLUDED IN AUDIBLE'S BEST OF THE YEAR LIST So, I’ve written a book. Having entertained the idea for years, and even offered a few questionable opportunities (‘It’s a piece of cake! Just do four hours of interviews, find someone else to write it, put your face on the cover, and voila!’), I have decided to write these stories just as I have always done, in my own hand. The joy that I have felt from chronicling these tales is not unlike listening back to a song that I’ve recorded and can’t wait to share with the world, or reading a primitive journal entry from a stained notebook, or even hearing my voice bounce between the Kiss posters on my wall as a child. This certainly doesn’t mean that I’m quitting my day job, but it does give me a place to shed a little light on what it’s like to be a kid from Springfield, Virginia, walking through life while living out the crazy dreams I had as young musician. From hitting the road with Scream at 18 years old, to my time in Nirvana and the Foo Fighters, jamming with Iggy Pop or playing at the Academy Awards or dancing with AC/DC and the Preservation Hall Jazz Band, drumming for Tom Petty or meeting Sir Paul McCartney at Royal Albert Hall, bedtime stories with Joan Jett or a chance meeting with Little Richard, to flying halfway around the world for one epic night with my daughters…the list goes on. I look forward to focusing the lens through which I see these memories a little sharper for you with much excitement.",Note non disponible,2021-10-05,Biography & Autobiography
Taste,Stanley Tucci,"INSTANT NEW YORK TIMES BESTSELLER Named a Notable Book of 2021 by NPR and The Washington Post From award-winning actor and food obsessive Stanley Tucci comes an intimate and charming memoir of life in and out of the kitchen. Stanley Tucci grew up in an Italian American family that spent every night around the kitchen table. He shared the magic of those meals with us in The Tucci Cookbook and The Tucci Table, and now he takes us beyond the savory recipes and into the compelling stories behind them.​ Taste is a reflection on the intersection of food and life, filled with anecdotes about his growing up in Westchester, New York; preparing for and shooting the foodie films Big Night and Julie & Julia; falling in love over dinner; and teaming up with his wife to create meals for a multitude of children. Each morsel of this gastronomic journey through good times and bad, five-star meals and burned dishes, is as heartfelt and delicious as the last. Written with Stanley’s signature wry humor, Taste is for fans of Bill Buford, Gabrielle Hamilton, and Ruth Reichl—and anyone who knows the power of a home-cooked meal.",Note non disponible,2021-10-05,Biography & Autobiography
All American Christmas,"Rachel Campos-Duffy, Sean Duffy","A #1 NEW YORK TIMES BESTSELLER! Pull up a chair, pour some eggnog, and enjoy the Christmas spirit with friends… From the wind-swept, snowy ranges of Wyoming to Florida beaches glowing with Christmas lights, All American Christmas traces holiday traditions across the United States. In this beautiful personal keepsake, Rachel Campos-Duffy and Sean Duffy present a dazzling collection of emotional stories, treasured family photographs, and homegrown Christmas recipes from some of Fox News’ most beloved personalities. Dana Perino takes readers out west to the cattle ranch where she celebrated Christmas with real life “Marlboro Men”—her uncles and grandfather. Maria Bartiromo reflects on growing up in Brooklyn and the famously brilliant light displays in her neighborhood. Brit Hume looks back at the day he and a friend rushed onto the Washington Senators’ field—and how his parents later warned him that he was now on Santa Claus’ naughty list. For Lauren Green, her understanding of Christmas has evolved with her growing faith. Beautifully designed to reflect the color and spirit and sparkle of the season and featuring 16 pages of color photographs, All American Christmas is a gift of love from the Fox News family and is sure to be cherished for seasons to come.",Note non disponible,2021-11-16,Religion
