title,authors,description,published_date,categories,goodreads_rating
It Starts with Us,Colleen Hoover,"Before It Ends with Us, it started with Atlas. Colleen Hoover tells fan favorite Atlas’s side of the story and shares what comes next in this long-anticipated sequel to the “glorious and touching” (USA TODAY) #1 New York Times bestseller and major motion picture It Ends with Us. Lily and her ex-husband, Ryle, have just settled into a civil coparenting rhythm when she suddenly bumps into her first love, Atlas, again. After nearly two years separated, she is elated that for once, time is on their side, and she immediately says yes when Atlas asks her on a date. But her excitement is quickly hampered by the knowledge that, though they are no longer married, Ryle is still very much a part of her life—and Atlas Corrigan is the one man he will hate being in his ex-wife and daughter’s life. Switching between the perspectives of Lily and Atlas, It Starts with Us picks up right where the epilogue for the “gripping, pulse-pounding” (Sarah Pekkanen, author of Perfect Neighbors) bestselling phenomenon It Ends with Us left off. Revealing more about Atlas’s past and following Lily as she embraces a second chance at true love while navigating a jealous ex-husband, it proves that “no one delivers an emotional read like Colleen Hoover” (Anna Todd, New York Times bestselling author).",2022-10-18,Fiction,3.71
The Boys from Biloxi,John Grisham,"#1 NEW YORK TIMES BESTSELLER • Two families. One courtroom showdown. • John Grisham’s most gripping thriller yet. • “A legal literary legend.” —USA Today John Grisham returns to Mississippi with the riveting story of two sons of immigrant families who grow up as friends, but ultimately find themselves on opposite sides of the law. Grisham’s trademark twists and turns will keep you tearing through the pages until the stunning conclusion. For most of the last hundred years, Biloxi was known for its beaches, resorts, and seafood industry. But it had a darker side. It was also notorious for corruption and vice, everything from gambling, prostitution, bootleg liquor, and drugs to contract killings. The vice was controlled by small cabal of mobsters, many of them rumored to be members of the Dixie Mafia. Keith Rudy and Hugh Malco grew up in Biloxi in the sixties and were childhood friends, as well as Little League all-stars. But as teenagers, their lives took them in different directions. Keith’s father became a legendary prosecutor, determined to “clean up the Coast.” Hugh’s father became the “Boss” of Biloxi’s criminal underground. Keith went to law school and followed in his father’s footsteps. Hugh preferred the nightlife and worked in his father’s clubs. The two families were headed for a showdown, one that would happen in a courtroom. Life itself hangs in the balance in The Boys from Biloxi, a sweeping saga rich with history and with a large cast of unforgettable characters. Don’t miss John Grisham’s new book, THE EXCHANGE: AFTER THE FIRM!",2022-10-18,Fiction,3.60
Fairy Tale,Stephen King,"From legendary storyteller Stephen King, comes this No. 1 Sunday Times bestseller, now with a stunning new cover look for Summer 2024. WELCOME TO THE DARK SIDE OF HAPPILY EVER AFTER Charlie Reade looks like a regular high school kid, great at baseball and football, a decent student. But when Charlie is seventeen, he meets a dog named Radar and her aging master, Howard Bowditch, a recluse in a big house at the top of a big hill, with a locked shed in the backyard. When Bowditch dies, he leaves Charlie a cassette tape telling a story no one would believe - inside the shed is a portal to another world. Stephen King goes into the deepest well of his imagination in this spellbinding novel about a seventeen-year-old boy who inherits the keys to a parallel world where good and evil are at war, and the stakes could not be higher - for their world or ours.",2022-09-06,Fiction,4.16
Dreamland,Nicholas Sparks,"From the #1 New York Times bestselling author of The Wish comes a poignant love story about risking everything for a dream - and whether it's possible to leave the past behind. Fate drew them together . . . but will their dreams tear them apart? Colby Mills once felt destined for a musical career, but tragedy grounded his dreams. Now the dust has settled, he spontaneously takes a gig playing at a bar in Florida, seeking a rare break from his duties at home. But when he meets Morgan Lee, his world is turned upside-down, and Colby can't help but wonder if the responsibilities he has shouldered need dictate his life forever. Morgan is on her way to Nashville with plans to become a star and she wants Colby to come with her. While they are falling headlong in love, Beverly is on a heart-pounding journey of another kind. Fleeing an abusive husband with her six-year-old son, she is trying to piece together a new life in a small town far off the beaten track. Danger is never far and her money is fast running out. In the course of a single unforgettable week, three very different people will have their own ideas of love put to the test. As fate draws them together, they will each be forced to question whether the dream of a better life can ever overcome the weight of the past. Praise for Nicholas Sparks: 'This one won't leave a dry eye' Daily Mirror 'A fiercely romantic and touching tale' Heat 'An A-grade romantic read' OK! 'Pulls at the heartstrings' Sunday Times 'An absorbing page-turner' Daily Mail",2022-09-20,Fiction,4.50
A World of Curiosities,Louise Penny,"INSTANT #1 NEW YORK TIMES BESTSELLER Chief Inspector Armand Gamache returns in the eighteenth book in #1 New York Times bestseller Louise Penny's beloved series. It’s spring and Three Pines is reemerging after the harsh winter. But not everything buried should come alive again. Not everything lying dormant should reemerge. But something has. As the villagers prepare for a special celebration, Armand Gamache and Jean-Guy Beauvoir find themselves increasingly worried. A young man and woman have reappeared in the Sûreté du Québec investigators’ lives after many years. The two were young children when their troubled mother was murdered, leaving them damaged, shattered. Now they’ve arrived in the village of Three Pines. But to what end? Gamache and Beauvoir’s memories of that tragic case, the one that first brought them together, come rushing back. Did their mother’s murder hurt them beyond repair? Have those terrible wounds, buried for decades, festered and are now about to erupt? As Chief Inspector Gamache works to uncover answers, his alarm grows when a letter written by a long dead stone mason is discovered. In it the man describes his terror when bricking up an attic room somewhere in the village. Every word of the 160-year-old letter is filled with dread. When the room is found, the villagers decide to open it up. As the bricks are removed, Gamache, Beauvoir and the villagers discover a world of curiosities. But the head of homicide soon realizes there’s more in that room than meets the eye. There are puzzles within puzzles, and hidden messages warning of mayhem and revenge. In unsealing that room, an old enemy is released into their world. Into their lives. And into the very heart of Armand Gamache’s home.",2022-11-29,Fiction,4.00
Mad Honey,"Jodi Picoult, Jennifer Finney Boylan","NEW YORK TIMES BESTSELLER • “Alternatingly heart-pounding and heartbreaking. This collaboration between two best-selling authors seamlessly weaves together Olivia and Lily’s journeys, creating a provocative exploration of the strength that love and acceptance require.”—The Washington Post Look for Jodi Picoult’s new novel, By Any Other Name, available now! GOOD MORNING AMERICA BOOK CLUB PICK • PEOPLE’S BOOK OF THE WEEK • A POPSUGAR BEST BOOKS OF THE YEAR Olivia McAfee knows what it feels like to start over. Her picture-perfect life—living in Boston, married to a brilliant cardiothoracic surgeon, raising their beautiful son, Asher—was upended when her husband revealed a darker side. She never imagined that she would end up back in her sleepy New Hampshire hometown, living in the house she grew up in and taking over her father’s beekeeping business. Lily Campanello is familiar with do-overs, too. When she and her mom relocate to Adams, New Hampshire, for her final year of high school, they both hope it will be a fresh start. And for just a short while, these new beginnings are exactly what Olivia and Lily need. Their paths cross when Asher falls for the new girl in school, and Lily can’t help but fall for him, too. With Ash, she feels happy for the first time. Yet she wonders if she can trust him completely. . . . Then one day, Olivia receives a phone call: Lily is dead, and Asher is being questioned by the police. Olivia is adamant that her son is innocent. But she would be lying if she didn’t acknowledge the flashes of his father’s temper in Ash, and as the case against him unfolds, she realizes he’s hidden more than he’s shared with her. Mad Honey is a riveting novel of suspense, an unforgettable love story, and a moving and powerful exploration of the secrets we keep and the risks we take in order to become ourselves.",2022-10-04,Fiction,3.69
The Light We Carry,Michelle Obama,"#1 NEW YORK TIMES AND USA TODAY BESTSELLER • In an inspiring follow-up to her acclaimed memoir Becoming, former First Lady Michelle Obama shares practical wisdom and powerful strategies for staying hopeful and balanced in today’s highly uncertain world. There may be no tidy solutions or pithy answers to life’s big challenges, but Michelle Obama believes that we can all locate and lean on a set of tools to help us better navigate change and remain steady within flux. In The Light We Carry, she opens a frank and honest dialogue with readers, considering the questions many of us wrestle with: How do we build enduring and honest relationships? How can we discover strength and community inside our differences? What tools do we use to address feelings of self-doubt or helplessness? What do we do when it all starts to feel like too much? Michelle Obama offers readers a series of fresh stories and insightful reflections on change, challenge, and power, including her belief that when we light up for others, we can illuminate the richness and potential of the world around us, discovering deeper truths and new pathways for progress. Drawing from her experiences as a mother, daughter, spouse, friend, and First Lady, she shares the habits and principles she has developed to successfully adapt to change and overcome various obstacles—the earned wisdom that helps her continue to “become.” She details her most valuable practices, like “starting kind,” “going high,” and assembling a “kitchen table” of trusted friends and mentors. With trademark humor, candor, and compassion, she also explores issues connected to race, gender, and visibility, encouraging readers to work through fear, find strength in community, and live with boldness. “When we are able to recognize our own light, we become empowered to use it,” writes Michelle Obama. A rewarding blend of powerful stories and profound advice that will ignite conversation, The Light We Carry inspires readers to examine their own lives, identify their sources of gladness, and connect meaningfully in a turbulent world.",2022-11-15,Self-Help,4.26
I'm Glad My Mom Died,Jennette McCurdy,A memoir by American former actress and singer Jennette McCurdy about her career as a child actress and her difficult relationship with her abusive mother who died in 2013,2022-08-09,Biography & Autobiography,4.46
"Friends, Lovers and the Big Terrible Thing",Matthew Perry,"'There's never been a more honest or raw memoir . . . and it may just save lives' Daily Mail 'Funny, fascinating, compelling . . . also a wonderful read for fans of Friends' The Times 'HI, MY NAME IS MATTHEW, although you may know me by my full name. My friends call me Matty.' So begins the riveting story of acclaimed actor Matthew Perry, taking us along on his journey from childhood ambition to fame to addiction and recovery in the aftermath of a life-threatening health scare. Before the frequent hospital visits and stints in rehab, there was five-year-old Matthew, who travelled from Montreal to Los Angeles, shuffling between his separated parents; fourteen-year-old Matthew, who was a nationally ranked tennis star in Canada; twenty-four-year-old Matthew, who nabbed a coveted role as a lead cast member on the talked-about pilot then called Friends Like Us . . . and so much more. In an extraordinary story that only he could tell - and in the heartfelt, hilarious, and warmly familiar way only he could tell it - Matthew Perry lays bare the fractured family that raised him (and also left him to his own devices), the desire for recognition that drove him to fame, and the void inside him that could not be filled even by his greatest dreams coming true. But he also details the peace he's found in sobriety and how he feels about the ubiquity of Friends, sharing stories about his castmates and other stars he met along the way. Frank, self-aware, and with his trademark humour, Perry vividly depicts his lifelong battle with addiction and what fuelled it despite seemingly having it all. 'An unflinching and often harrowing must-read for 90s pop culture fans' Guardian 'Written with Chandler's trademark sarcasm and self-deprecation' Telegraph 'A hopeful read . . . I started to think of [it] not as a celebrity memoir about addiction, but as an addiction memoir written by a man who understands his own history through the prism of showbiz' Independent",2022-11-01,Biography & Autobiography,3.93
Surrender,Bono,Description non disponible,2022,Catégorie non disponible,4.18
