Title,Author,Published_Date,Description
THE EVENING AND THE MORNING,Ken Follett,Date non disponible,"In a prequel to “The Pillars of the Earth,” a boatbuilder, a Norman noblewoman and a monk live in England under attack by the Welsh and the Vikings."
VINCE FLYNN: TOTAL POWER,Kyle Mills,Date non disponible,"When America’s power grid is shut down, Mitch Rapp goes after a cyber terrorist."
TROUBLED BLOOD,Robert Galbraith,Date non disponible,"The fifth book in the Cormoran Strike series. A decades-old cold case might be connected to a serial killer; by J.K. Rowling, writing pseudonymously."
TO SLEEP IN A SEA OF STARS,Christopher Paolini,Date non disponible,Kira Navárez might be the only one who can save the Earth and its colonies from being destroyed.
SHADOWS IN DEATH,J.D. Robb,Date non disponible,The 51st book of the In Death series. A hitman with possible connections to Eve Dallas’s husband is seen near the scene of a crime.
ANXIOUS PEOPLE,Fredrik Backman,Date non disponible,A failed bank robber holds a group of strangers hostage at an apartment open house.
THE VANISHING HALF,Brit Bennett,Date non disponible,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.
ALL THE DEVILS ARE HERE,Louise Penny,Date non disponible,"The 16th book in the Chief Inspector Gamache series. When his billionaire godfather is attacked, Gamache uncovers secrets hidden throughout Paris."
PIRANESI,Susanna Clarke,Date non disponible,Another world is revealed as a man called the Other asks Piranesi for help with research into a Great and Secret Knowledge.
ONE BY ONE,Ruth Ware,Date non disponible,An avalanche tests the bonds of coworkers from a London-based tech startup on a corporate retreat in the French Alps.
WHERE THE CRAWDADS SING,Delia Owens,Date non disponible,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
THE HARBINGER II,Jonathan Cahn,Date non disponible,"Nouriel, Ana Goren and a figure known as ""the prophet"" return as revelations are unlocked."
THE GUEST LIST,Lucy Foley,Date non disponible,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.
SQUEEZE ME,Carl Hiaasen,Date non disponible,"A dead dowager, hungry pythons and occupants of the winter White House shake up the Palm Beach charity ball season."
FIFTY WORDS FOR RAIN,Asha Lemmie,Date non disponible,"In 1940s Japan, an 8-year-old child of a married Japanese aristocrat and her African-American lover searches for her place in the world."
RAGE,Bob Woodward,Date non disponible,"Based on 17 on-the-record interviews with President Trump and other reporting, the Pulitzer Prize-winning journalist details the president’s perspective on multiple crises."
